time,field_value,field_friendly_name
2025-09-03T13:51:14.897582Z,0.0,LVA-CognitiveStress
2025-09-03T13:51:14.907552Z,0.0,LVA-EmotionStress
2025-09-03T13:51:14.917227Z,0.0,LVA-EnergyStress
2025-09-03T13:51:14.929437Z,0.0,LVA-GlobalStress
2025-09-03T13:51:14.940541Z,0.0,LVA-MentalEffort
2025-09-03T13:51:14.950694Z,0.0,LVA-SOSStress
2025-09-03T13:51:14.960922Z,1.0,LVARiskStress
2025-09-03T13:51:14.971461Z,57.0,SOS
2025-09-03T13:51:14.988324Z,925.0,VOL1
2025-09-03T13:51:15.013966Z,63.0,VOL2
2025-09-03T13:51:15.034664Z,19.0,aggression
2025-09-03T13:51:15.049800Z,0.0,anticipation
2025-09-03T13:51:15.060630Z,0.0,arousal
2025-09-03T13:51:15.070049Z,30.0,atmosphere
2025-09-03T13:51:15.079198Z,0.0,channel
2025-09-03T13:51:15.088965Z,47.0,cognitiveHighLowBalance
2025-09-03T13:51:15.098640Z,22.0,concentration
2025-09-03T13:51:15.108743Z,0.0,dissatisfied
2025-09-03T13:51:15.118729Z,84.0,emotionBalance
2025-09-03T13:51:15.128809Z,371.0,emotionCognitiveRatio
2025-09-03T13:51:15.138332Z,5.0,emotionEnergyBalance
2025-09-03T13:51:15.149611Z,30.0,energy
2025-09-03T13:51:15.159559Z,30.0,excitement
2025-09-03T13:51:15.169727Z,21.0,extremeEmotion
2025-09-03T13:51:15.178818Z,0.0,finalRiskLevel
2025-09-03T13:51:15.188863Z,10.0,hesitation
2025-09-03T13:51:15.197845Z,0.0,imagination
2025-09-03T13:51:15.207534Z,5.0,index
2025-09-03T13:51:15.217303Z,0.0,joy
2025-09-03T13:51:15.226256Z,0.0,mentalEffort
2025-09-03T13:51:15.238316Z,190.0,offlineLVA-cognitiveStress
2025-09-03T13:51:15.247624Z,0.0,offlineLVA-deceptionPatterns
2025-09-03T13:51:15.258113Z,88.0,offlineLVA-emotionStress
2025-09-03T13:51:15.268095Z,30.0,offlineLVA-frgStress
2025-09-03T13:51:15.278678Z,80.0,offlineLVA-globalStress
2025-09-03T13:51:15.289428Z,95.0,offlineLVA-riskProbability
2025-09-03T13:51:15.299071Z,171.0,offlineLVA-riskStress
2025-09-03T13:51:15.310478Z,79.0,offlineLVA-subjectiveEffortLevel
2025-09-03T13:51:15.320257Z,13.0,offlineLVA-value
2025-09-03T13:51:15.330494Z,-2.0,onlineLVA
2025-09-03T13:51:15.339286Z,1573.0,overallCognitiveActivity
2025-09-03T13:51:15.349661Z,4.0,oz1
2025-09-03T13:51:15.359388Z,4.0,oz2
2025-09-03T13:51:15.370818Z,1.0,risk1
2025-09-03T13:51:15.381082Z,0.0,risk2
2025-09-03T13:51:15.391033Z,255.0,riskOZ
2025-09-03T13:51:15.402259Z,0.0,sad
2025-09-03T13:51:15.415359Z,0.0,stress
2025-09-03T13:51:15.423042Z,8.0,uncertainty
2025-09-03T13:51:15.431770Z,0.0,uneasy
2025-09-03T13:51:15.440202Z,18.0,voiceEnergy
2025-09-03T13:51:15.450751Z,12.0,EDP-Anticipation
2025-09-03T13:51:15.459644Z,78.0,EDP-Concentrated
2025-09-03T13:51:15.468821Z,69.0,EDP-Confident
2025-09-03T13:51:15.478641Z,47.0,EDP-Distress
2025-09-03T13:51:15.494604Z,78.0,EDP-Emotional
2025-09-03T13:51:15.504434Z,82.0,EDP-Energetic
2025-09-03T13:51:15.512870Z,16.0,EDP-Hesitation
2025-09-03T13:51:15.524595Z,0.0,EDP-Passionate
2025-09-03T13:51:15.537310Z,33.0,EDP-Stressful
2025-09-03T13:51:15.545853Z,31.0,EDP-Thoughtful
2025-09-03T13:51:15.558250Z,0.0,EDP-Uneasy
2025-09-03T13:51:15.568081Z,57.0,EmotionPlayer-Aggression
2025-09-03T13:51:15.576899Z,90.0,EmotionPlayer-Energy
2025-09-03T13:51:15.586774Z,0.0,EmotionPlayer-Joy
2025-09-03T13:51:15.598448Z,255.0,EmotionPlayer-Risk
2025-09-03T13:51:15.609139Z,0.0,EmotionPlayer-Sad
2025-09-03T13:51:15.620028Z,59.0,EmotionPlayer-Stress
2025-09-03T13:51:15.642126Z,7.0,JQ
2025-09-03T13:51:15.652052Z,41.0,JQcl
2025-09-03T13:51:15.662105Z,0.0,LVA-CognitiveStress
2025-09-03T13:51:15.671565Z,0.0,LVA-EmotionStress
2025-09-03T13:51:15.681640Z,0.0,LVA-EnergyStress
2025-09-03T13:51:15.692298Z,0.0,LVA-GlobalStress
2025-09-03T13:51:15.702063Z,0.0,LVA-MentalEffort
2025-09-03T13:51:15.711618Z,0.0,LVA-SOSStress
2025-09-03T13:51:15.721830Z,1.0,LVARiskStress
2025-09-03T13:51:15.731476Z,57.0,SOS
2025-09-03T13:51:15.740791Z,924.0,VOL1
2025-09-03T13:51:15.750185Z,64.0,VOL2
2025-09-03T13:51:15.759539Z,19.0,aggression
2025-09-03T13:51:15.768970Z,0.0,anticipation
2025-09-03T13:51:15.780258Z,0.0,arousal
2025-09-03T13:51:15.789347Z,30.0,atmosphere
2025-09-03T13:51:15.799130Z,1.0,channel
2025-09-03T13:51:15.808628Z,47.0,cognitiveHighLowBalance
2025-09-03T13:51:15.819285Z,22.0,concentration
2025-09-03T13:51:15.829613Z,0.0,dissatisfied
2025-09-03T13:51:15.840233Z,84.0,emotionBalance
2025-09-03T13:51:15.849946Z,371.0,emotionCognitiveRatio
2025-09-03T13:51:15.873686Z,5.0,emotionEnergyBalance
2025-09-03T13:51:15.884627Z,30.0,energy
2025-09-03T13:51:15.894178Z,30.0,excitement
2025-09-03T13:51:15.904404Z,21.0,extremeEmotion
2025-09-03T13:51:15.916462Z,0.0,finalRiskLevel
2025-09-03T13:51:15.925930Z,10.0,hesitation
2025-09-03T13:51:15.935905Z,0.0,imagination
2025-09-03T13:51:15.945817Z,6.0,index
2025-09-03T13:51:15.954034Z,0.0,joy
2025-09-03T13:51:15.964257Z,0.0,mentalEffort
2025-09-03T13:51:15.973797Z,193.0,offlineLVA-cognitiveStress
2025-09-03T13:51:15.985556Z,0.0,offlineLVA-deceptionPatterns
2025-09-03T13:51:15.995410Z,86.0,offlineLVA-emotionStress
2025-09-03T13:51:16.010753Z,30.0,offlineLVA-frgStress
2025-09-03T13:51:16.021421Z,77.0,offlineLVA-globalStress
2025-09-03T13:51:16.033803Z,95.0,offlineLVA-riskProbability
2025-09-03T13:51:16.043766Z,171.0,offlineLVA-riskStress
2025-09-03T13:51:16.054947Z,79.0,offlineLVA-subjectiveEffortLevel
2025-09-03T13:51:16.064219Z,13.0,offlineLVA-value
2025-09-03T13:51:16.074960Z,-2.0,onlineLVA
2025-09-03T13:51:16.084726Z,1573.0,overallCognitiveActivity
2025-09-03T13:51:16.094826Z,4.0,oz1
2025-09-03T13:51:16.103351Z,4.0,oz2
2025-09-03T13:51:16.112859Z,1.0,risk1
2025-09-03T13:51:16.121261Z,0.0,risk2
2025-09-03T13:51:16.130900Z,255.0,riskOZ
2025-09-03T13:51:16.139500Z,0.0,sad
2025-09-03T13:51:16.152929Z,0.0,stress
2025-09-03T13:51:16.162648Z,8.0,uncertainty
2025-09-03T13:51:16.170074Z,0.0,uneasy
2025-09-03T13:51:16.179305Z,18.0,voiceEnergy
2025-09-03T13:51:16.188960Z,10.0,EDP-Anticipation
2025-09-03T13:51:16.198151Z,74.0,EDP-Concentrated
2025-09-03T13:51:16.207393Z,54.0,EDP-Confident
2025-09-03T13:51:16.218151Z,82.0,EDP-Distress
2025-09-03T13:51:16.228790Z,92.0,EDP-Emotional
2025-09-03T13:51:16.240549Z,69.0,EDP-Energetic
2025-09-03T13:51:16.250004Z,46.0,EDP-Hesitation
2025-09-03T13:51:16.258890Z,0.0,EDP-Passionate
2025-09-03T13:51:16.270566Z,52.0,EDP-Stressful
2025-09-03T13:51:16.278684Z,30.0,EDP-Thoughtful
2025-09-03T13:51:16.288956Z,0.0,EDP-Uneasy
2025-09-03T13:51:16.299622Z,42.0,EmotionPlayer-Aggression
2025-09-03T13:51:16.310844Z,98.0,EmotionPlayer-Energy
2025-09-03T13:51:16.324033Z,0.0,EmotionPlayer-Joy
2025-09-03T13:51:16.332350Z,255.0,EmotionPlayer-Risk
2025-09-03T13:51:16.344338Z,0.0,EmotionPlayer-Sad
2025-09-03T13:51:16.353616Z,67.0,EmotionPlayer-Stress
2025-09-03T13:51:16.363259Z,25.0,JQ
2025-09-03T13:51:16.373098Z,42.0,JQcl
2025-09-03T13:51:16.382514Z,-1.0,LVA-CognitiveStress
2025-09-03T13:51:16.392755Z,-1.0,LVA-EmotionStress
2025-09-03T13:51:16.402985Z,-1.0,LVA-EnergyStress
2025-09-03T13:51:16.412460Z,-1.0,LVA-GlobalStress
2025-09-03T13:51:16.422269Z,-1.0,LVA-MentalEffort
2025-09-03T13:51:16.432707Z,-1.0,LVA-SOSStress
2025-09-03T13:51:16.442631Z,-1.0,LVARiskStress
2025-09-03T13:51:16.456342Z,112.0,SOS
2025-09-03T13:51:16.465957Z,760.0,VOL1
2025-09-03T13:51:16.475695Z,64.0,VOL2
2025-09-03T13:51:16.485769Z,0.0,aggression
2025-09-03T13:51:16.494772Z,0.0,anticipation
2025-09-03T13:51:16.504944Z,0.0,arousal
2025-09-03T13:51:16.514167Z,30.0,atmosphere
2025-09-03T13:51:16.523959Z,0.0,channel
2025-09-03T13:51:16.534178Z,119.0,cognitiveHighLowBalance
2025-09-03T13:51:16.543765Z,19.0,concentration
