time,state,topic
2025-11-03T09:13:08.857118Z,15.0,PM1/sensor/ee_lux/state
2025-11-03T09:13:18.619057Z,19.79,PM1/sensor/steinel_tmp/state
2025-11-03T09:13:18.664285Z,10.34,PM1/sensor/steinel_dptmp/state
2025-11-03T09:13:18.716154Z,54.48,PM1/sensor/steinel_hih/state
2025-11-03T09:13:18.764289Z,100302.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:13:18.811166Z,101126.3,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:13:19.946428Z,9.0,PM1/sensor/ee_lux/state
2025-11-03T09:13:20.554250Z,3.0,PM1/sensor/ee_lux/state
2025-11-03T09:13:24.748859Z,9.0,PM1/sensor/ee_lux/state
2025-11-03T09:13:26.266130Z,15.0,PM1/sensor/ee_lux/state
2025-11-03T09:13:28.649052Z,10.32,PM1/sensor/steinel_dptmp/state
2025-11-03T09:13:28.703813Z,54.4,PM1/sensor/steinel_hih/state
2025-11-03T09:13:28.762118Z,100301.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:13:28.789051Z,101125.3,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:13:28.864128Z,3.0,PM1/sensor/steinel_voc/state
2025-11-03T09:13:38.663826Z,9.0,PM1/sensor/ee_lux/state
2025-11-03T09:13:38.769168Z,101125.2,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:13:38.864260Z,2.0,PM1/sensor/steinel_voc/state
2025-11-03T09:13:39.596072Z,44.24,PM1/sensor/ee_hih/state
2025-11-03T09:13:44.886120Z,3.0,PM1/sensor/ee_lux/state
2025-11-03T09:13:48.594137Z,19.81,PM1/sensor/steinel_tmp/state
2025-11-03T09:13:48.639053Z,10.36,PM1/sensor/steinel_dptmp/state
2025-11-03T09:13:48.689495Z,54.48,PM1/sensor/steinel_hih/state
2025-11-03T09:13:48.859271Z,1.0,PM1/sensor/steinel_voc/state
2025-11-03T09:13:55.586226Z,9.0,PM1/sensor/ee_lux/state
2025-11-03T09:13:57.933986Z,3.0,PM1/sensor/ee_lux/state
2025-11-03T09:13:58.594284Z,19.82,PM1/sensor/steinel_tmp/state
2025-11-03T09:13:58.640947Z,10.37,PM1/sensor/steinel_dptmp/state
2025-11-03T09:14:01.905985Z,22.38,PM1/sensor/ee_tmp/state
2025-11-03T09:14:08.525923Z,19.84,PM1/sensor/steinel_tmp/state
2025-11-03T09:14:08.574048Z,10.36,PM1/sensor/steinel_dptmp/state
2025-11-03T09:14:08.623964Z,54.4,PM1/sensor/steinel_hih/state
2025-11-03T09:14:08.719225Z,101125.1,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:14:12.876354Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:14:18.594098Z,19.87,PM1/sensor/steinel_tmp/state
2025-11-03T09:14:18.644079Z,10.39,PM1/sensor/steinel_dptmp/state
2025-11-03T09:14:18.744202Z,100302.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:14:18.769207Z,101126.0,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:14:18.855672Z,2.0,PM1/sensor/steinel_voc/state
2025-11-03T09:14:28.564701Z,19.84,PM1/sensor/steinel_tmp/state
2025-11-03T09:14:28.653931Z,54.48,PM1/sensor/steinel_hih/state
2025-11-03T09:14:28.744268Z,101126.1,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:14:28.824504Z,1.0,PM1/sensor/steinel_voc/state
2025-11-03T09:14:38.559051Z,19.87,PM1/sensor/steinel_tmp/state
2025-11-03T09:14:38.659194Z,54.4,PM1/sensor/steinel_hih/state
2025-11-03T09:14:38.759063Z,101126.0,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:14:39.566905Z,44.16,PM1/sensor/ee_hih/state
2025-11-03T09:14:48.574028Z,19.89,PM1/sensor/steinel_tmp/state
2025-11-03T09:14:48.619079Z,10.41,PM1/sensor/steinel_dptmp/state
2025-11-03T09:14:48.713935Z,100301.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:14:48.770196Z,101125.0,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:14:56.919480Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:14:58.533879Z,19.94,PM1/sensor/steinel_tmp/state
2025-11-03T09:14:58.584444Z,10.45,PM1/sensor/steinel_dptmp/state
2025-11-03T09:14:58.716354Z,101124.9,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:14:59.725159Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:15:01.936328Z,22.42,PM1/sensor/ee_tmp/state
2025-11-03T09:15:08.523956Z,19.91,PM1/sensor/steinel_tmp/state
2025-11-03T09:15:08.577286Z,10.4,PM1/sensor/steinel_dptmp/state
2025-11-03T09:15:08.607246Z,54.28,PM1/sensor/steinel_hih/state
2025-11-03T09:15:18.548912Z,19.93,PM1/sensor/steinel_tmp/state
2025-11-03T09:15:18.624065Z,10.42,PM1/sensor/steinel_dptmp/state
2025-11-03T09:15:18.829178Z,2.0,PM1/sensor/steinel_voc/state
2025-11-03T09:15:25.994173Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:15:28.476383Z,19.95,PM1/sensor/steinel_tmp/state
2025-11-03T09:15:28.523979Z,10.47,PM1/sensor/steinel_dptmp/state
2025-11-03T09:15:28.573777Z,54.4,PM1/sensor/steinel_hih/state
2025-11-03T09:15:28.649118Z,101124.8,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:15:28.724208Z,1.0,PM1/sensor/steinel_voc/state
2025-11-03T09:15:36.846595Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:15:38.723791Z,2.0,PM1/sensor/steinel_voc/state
2025-11-03T09:15:39.546184Z,43.92,PM1/sensor/ee_hih/state
2025-11-03T09:15:46.234061Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:15:47.036349Z,12.0,PM1/sensor/ee_lux/state
2025-11-03T09:15:48.578128Z,10.5,PM1/sensor/steinel_dptmp/state
